Remaining miles,voltage,SOC,one_cell_voltage_max,one_cell_voltage_min
202.9,373.7,96,4.163,4.116
202.9,373.9,96,4.164,4.117
202.4,373.9,96,4.167,4.119
200.7,371.4,95,4.138,4.091
200.5,373.4,95,4.16,4.113
200.2,372.2,95,4.15,4.102
197.9,371.9,94,4.143,4.096
197.8,371.9,94,4.143,4.095
197.7,370.9,94,4.135,4.088
192.9,369.9,92,4.121,4.074
192.8,370.2,92,4.123,4.075
189.9,368.7,91,4.108,4.061
186.1,367.7,90,4.095,4.048
186,368.4,91,4.106,4.058
186,368.4,90,4.103,4.056
184.5,367.4,90,4.097,4.048
183.7,367.7,90,4.098,4.049
183.5,366.7,89,4.085,4.038
183.3,366.7,89,4.085,4.038
179.4,365.2,88,4.067,4.019
179.2,365.7,88,4.072,4.025
179,363.9,87,4.052,4.005
179,365.2,87,4.069,4.022
175.4,364.2,86,4.058,4.011
175.4,364.2,86,4.058,4.011
175.4,364.4,86,4.058,4.012
175.4,364.4,86,4.059,4.011
175.4,364.2,86,4.058,4.012
173,362.6,85,4.041,3.996
172.8,360.6,85,4.021,3.974
172.5,360.4,85,4.015,3.969
168.5,360.1,84,4.016,3.971
168.4,361.6,84,4.029,3.984
163.6,361.4,83,4.025,3.979
163.3,358.9,83,4,3.955
163,360.1,83,4.013,3.969
162.7,358.9,82,3.999,3.954
158.8,359.4,82,4.007,3.961
158.7,359.9,82,4.007,3.963
158.7,359.1,81,4.002,3.958
158.6,359.6,81,4.007,3.962
156.4,358.4,80,3.994,3.949
156.3,358.9,80,3.998,3.955
155.2,357.1,79,3.981,3.937
155.2,357.6,79,3.986,3.942
150.7,356.1,78,3.97,3.927
150.6,355.4,78,3.961,3.916
150.3,355.1,78,3.956,3.912
148.5,355.6,77,3.961,3.918
148.5,354.9,77,3.956,3.912
148.4,354.6,77,3.95,3.907
147.9,355.4,76,3.957,3.914
146.7,354.1,76,3.947,3.902
143.7,353.4,75,3.937,3.894
143.5,354.1,75,3.946,3.903
138.2,352.6,74,3.93,3.886
138.2,352.6,74,3.93,3.887
138.2,352.9,73,3.929,3.886
138.2,352.6,73,3.928,3.884
138.2,352.6,73,3.929,3.886
134.7,349.3,72,3.896,3.85
130.8,350.1,71,3.901,3.855
130.6,349.8,71,3.899,3.854
129.4,349.8,71,3.896,3.85
129,349.3,70,3.893,3.845
129,349.1,70,3.892,3.845
128.7,347.6,69,3.874,3.826
128.5,348.8,69,3.888,3.838
124.7,347.1,68,3.868,3.812
124.7,347.1,68,3.868,3.813
124.7,347.1,67,3.869,3.813
124.6,346.8,67,3.865,3.809
120.3,343.1,66,3.83,3.774
120.1,343.8,66,3.835,3.779
119.8,341.1,65,3.81,3.755
119.4,343.1,65,3.826,3.771
116.6,343.8,64,3.833,3.778
116.6,343.8,64,3.833,3.778
116.6,343.6,64,3.833,3.778
117.2,344.3,63,3.838,3.782
117.1,341.3,63,3.81,3.754
115.9,342.3,62,3.815,3.766
115.9,342.1,62,3.814,3.765
114.1,341.1,61,3.801,3.757
114,340.8,61,3.798,3.753
114,341.1,61,3.799,3.755
111.7,339.1,60,3.78,3.739
110.9,339.8,59,3.788,3.747
110.9,339.8,59,3.785,3.745
110.9,339.8,59,3.785,3.745
109.1,338.3,58,3.773,3.735
109,338.8,58,3.774,3.736
109,338.8,58,3.774,3.736
107.6,338,57,3.768,3.732
107.1,338,57,3.769,3.733
105,337.5,56,3.76,3.724
105,337.5,56,3.76,3.724
105,337.5,56,3.759,3.724
104.9,336,56,3.745,3.711
103.3,336.5,55,3.749,3.715
103.2,336.3,55,3.749,3.717
103.2,336.3,55,3.748,3.714
97.9,335.5,54,3.737,3.706
97.8,333.8,54,3.721,3.69
97.5,336.5,54,3.747,3.716
93.1,334.8,53,3.731,3.701
92.9,332,53,3.706,3.675
91.3,333.8,52,3.721,3.693
91.2,335,52,3.728,3.7
91.1,334.5,52,3.726,3.697
87.4,333.5,51,3.716,3.689
87.4,333.8,51,3.716,3.689
85.2,332,50,3.698,3.672
85,333.5,50,3.714,3.689
80.1,330.5,49,3.684,3.66
79.7,330.5,49,3.684,3.661
79.2,330.5,49,3.683,3.659
78.8,330.5,48,3.684,3.659
70.8,331.3,47,3.689,3.668
70.8,331.3,47,3.688,3.668
70.8,331.3,47,3.689,3.668
70.6,330.8,46,3.686,3.666
70.6,331,46,3.686,3.667
70.6,331.3,46,3.686,3.665
66.6,329.3,45,3.669,3.649
66.4,330.3,45,3.677,3.658
66.4,330,45,3.679,3.66
66.4,329.8,45,3.673,3.654
63.1,330.8,44,3.682,3.664
63,330.3,44,3.679,3.661
62.8,328.8,44,3.663,3.645
61.7,330,43,3.673,3.655
61.7,329.8,43,3.672,3.655
61.7,329.8,43,3.673,3.655
61.6,330.3,43,3.675,3.659
57.5,327.8,42,3.652,3.634
57.3,329,42,3.663,3.646
57.2,329.3,42,3.665,3.648
57.2,328.8,42,3.663,3.646
56.3,328.8,41,3.662,3.646
56.3,329,41,3.662,3.646
56.3,328.5,41,3.661,3.645
54.2,327.8,40,3.649,3.634
54.1,328.5,40,3.656,3.64
54,328.5,40,3.659,3.643
53.9,328.8,40,3.662,3.646
47.7,327.3,39,3.644,3.627
47.4,327,39,3.643,3.628
47.1,327,38,3.645,3.628
46.8,327.8,38,3.647,3.631
41.9,327.5,37,3.647,3.633
41.9,327.5,37,3.647,3.632
41,327,36,3.638,3.622
39.9,325.7,36,3.628,3.612
37.8,329,35,3.661,3.647
37.7,327.5,35,3.645,3.63
35.3,326.3,34,3.632,3.617
35.1,326.8,34,3.64,3.623
34,327,34,3.639,3.622
29.4,326,33,3.633,3.614
29.4,326.5,33,3.633,3.615
29.4,326.3,33,3.633,3.616
27,325.7,32,3.628,3.608
27,326,32,3.63,3.609
27,325.7,31,3.63,3.609
27,326,31,3.63,3.61
24.1,328.8,31,3.66,3.639
24.1,326,31,3.631,3.609
20.9,325,30,3.621,3.599
20.7,324.7,30,3.618,3.595
20.5,325.7,30,3.629,3.607
20,325.2,29,3.626,3.602
18.6,323.5,29,3.605,3.581
18.3,325,29,3.618,3.595
17,323.7,28,3.607,3.584
16.7,322.5,28,3.596,3.573
13.4,324.2,27,3.612,3.589
13.4,324,27,3.612,3.588
13.3,324.2,27,3.611,3.589
13.1,323.7,26,3.611,3.588
12.9,322.7,26,3.598,3.575
12.7,323.5,26,3.606,3.582
11.9,323.7,26,3.608,3.585
11.9,323.7,25,3.607,3.585
11.9,323.5,25,3.608,3.584
11.8,323.2,25,3.6,3.577
9.1,323.7,24,3.603,3.583
8.8,322.2,24,3.591,3.568
5.6,322,23,3.589,3.567
5.4,323.7,23,3.604,3.582
4.8,322.5,23,3.592,3.569
3.8,321.5,22,3.581,3.559
3.8,322.7,22,3.593,3.571
3.7,322.5,22,3.592,3.569
3.7,322.5,22,3.594,3.571
1.8,322.2,21,3.588,3.566
1.8,322.2,21,3.588,3.566
1.6,321.7,20,3.587,3.566
1.6,321.7,20,3.586,3.565
