道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份,道路名称2
2009,1,20521.9,0,0,0,0,83.38989667,83.38989667,主干路,2022,惠新东街
2010,1,45337.21212,0,0,0,0,83.72273698,83.72273698,主干路,2022,G1辅路（京沈高速右辅路）
2011,1,45337.21212,0,0,0,0,82.32322887,82.32322887,主干路,2022,G1辅路（京沈高速左辅路）
2012,1,112080,0,0,0,0,84.12936585,84.12936585,次干路,2022,长青路
2013,1,118955,0,0,0,0,85.62874141,85.62874141,主干路,2022,四环路内环辅路
2014,1,118955,0,0,0,0,86.08947323,86.08947323,主干路,2022,四环路外环辅路
2015,1,90620,0,0,0,0,82.46606244,82.46606244,主干路,2022,中关村南大街
2016,1,66248,0,0,0,0,84.87798651,84.87798651,主干路,2022,永定门内大街
2017,1,59296,0,0,0,0,85.92344424,85.92344424,主干路,2022,永定门外大街
2018,1,31549,0,0,0,0,84.79233552,84.79233552,主干路,2022,南新华街
2019,1,21006,0,0,0,0,84.14101555,84.14101555,次干路,2022,中环路
2020,1,121256.7779,0,0,0,0,85.71182091,85.71182091,主干路,2022,朝阳北路
2021,1,37084,0,0,0,0,84.27964209,84.27964209,次干路,2022,西二旗北路（东北旺北路东段）
2022,1,82351.8,0,0,0,0,84.48878375,84.48878375,主干路,2022,林萃路
2023,1,21742,0,0,0,0,83.27965817,83.27965817,主干路,2022,东单北大街
2024,1,16694.5,0,0,0,0,86.3906166,86.3906166,主干路,2022,东四南大街
2025,1,30984,0,0,0,0,85.84079254,85.84079254,主干路,2022,东四北大街
2026,2,86502.12939,0,0,0,0,84.12615621,84.12615621,主干路,2022,四环路内环辅路
2027,2,89135.44523,0,0,0,0,83.57249618,83.57249618,主干路,2022,四环路外环辅路
2028,2,22945,0,0,0,0,83.13002952,83.13002952,次干路,2022,月坛北街
2029,2,37965,0,0,0,0,84.80019417,84.80019417,次干路,2022,月坛南街
2030,2,31555,0,0,0,0,83.95904473,83.95904473,主干路,2022,西直门外大街右侧辅路
2031,2,36612.25,0,0,0,0,82.11660198,82.11660198,主干路,2022,西直门外大街左侧辅路
2032,2,27851,0,0,0,0,82.33231654,82.33231654,主干路,2022,白纸坊西街
2033,2,26938.8,0,0,0,0,83.08528841,83.08528841,主干路,2022,农大南路
2034,2,31325.99666,0,0,0,0,83.1120669,83.1120669,主干路,2022,阜通东大街
2035,2,56649.8,0,0,0,0,82.663994,82.663994,主干路,2022,阜通西大街
2036,2,83490,0,0,0,0,82.15853053,82.15853053,主干路,2022,小屯路
2037,2,59846.4,0,0,0,0,85.31324685,85.31324685,主干路,2022,南磨房路
2038,2,14209,0,0,0,0,84.00689858,84.00689858,次干路,2022,京原路
2039,2,49568,0,0,0,0,83.40355063,83.40355063,次干路,2022,京原路
2040,2,17564,0,0,0,0,84.08832126,84.08832126,主干路,2022,西直门内大街
2041,3,52980,0,0,0,0,82.60647343,82.60647343,主干路,2022,珠市口东大街
2042,3,60398,0,0,0,0,83.6945593,83.6945593,主干路,2022,广渠门内大街
2043,3,49784,0,0,0,0,84.31169592,84.31169592,主干路,2022,广安门外大街
2044,3,121102.9811,0,0,0,0,82.83738531,82.83738531,主干路,2022,四环路内环辅路
2045,3,124789.6233,0,0,0,0,83.37771045,83.37771045,主干路,2022,四环路外环辅路
2046,3,45576,0,0,0,0,84.33928746,84.33928746,主干路,2022,车公庄大街
2047,3,61099,0,0,0,0,83.59589959,83.59589959,主干路,2022,车公庄西路
2048,3,164380,0,0,0,0,83.80401785,83.80401785,主干路,2022,成寿寺路
2049,3,142458.1,0,0,0,0,85.56673019,85.56673019,主干路,2022,永丰路
2050,3,16856.2,0,0,0,0,83.84349544,83.84349544,主干路,2022,香河园路
2051,3,22995,0,0,0,0,84.25637813,84.25637813,主干路,2022,香河园路
2052,3,10632,0,0,0,0,82.36818742,82.36818742,主干路,2022,雍和宫大街
2053,3,32927.1,0,0,0,0,84.02895951,84.02895951,主干路,2022,崇文门内大街
2054,3,43232,0,0,0,0,82.57918206,82.57918206,主干路,2022,崇文门外大街
2055,3,9662,0,0,0,0,78.78242251,78.78242251,主干路,2022,静安西街
2056,3,10913,0,0,0,0,82.6150884,82.6150884,次干路,2022,柳芳北街
2057,4,7163,0,0,0,0,82.14052772,82.14052772,次干路,2022,景山东街
2058,4,7563.7,0,0,0,0,83.89886286,83.89886286,次干路,2022,景山后街
2059,4,5423.9,0,0,0,0,81.28921995,81.28921995,次干路,2022,景山西街
2060,4,325713,0,0,0,0,83.8025832,83.8025832,主干路,2022,三环路
2061,4,36650,0,0,0,0,84.45502111,84.45502111,次干路,2022,稻香湖路
2062,4,68054,0,0,0,0,84.83877127,84.83877127,主干路,2022,广顺北大街
2063,4,36398,0,0,0,0,83.32701804,83.32701804,主干路,2022,广顺南大街
2064,4,12025.12679,0,0,0,0,83.10214491,83.10214491,主干路,2022,四环路内环辅路
2065,4,12391.1982,0,0,0,0,83.48323613,83.48323613,主干路,2022,四环路外环辅路
2066,4,33941,0,0,0,0,81.63072722,81.63072722,主干路,2022,珠市口西大街
2067,4,25444,0,0,0,0,83.54268296,83.54268296,主干路,2022,骡马市大街
2068,4,90833.5,0,0,0,0,84.13197516,84.13197516,主干路,2022,广安门内大街
2069,4,14172,0,0,0,0,79.67330951,79.67330951,次干路,2022,西安门大街
2070,5,384394,0,0,0,0,86.04848772,86.04848772,主干路,2022,三环路
2071,5,34747.5,0,0,0,0,79.24579436,79.24579436,主干路,2022,德胜门外大街左侧辅路
2072,5,62000,0,0,0,0,81.45175332,81.45175332,主干路,2022,东苇路
2073,5,30635.4,0,0,0,0,82.64161635,82.64161635,主干路,2022,东直门内大街
2074,5,51657.9,0,0,0,0,83.72702674,83.72702674,主干路,2022,和平里西街
2075,5,34658.8,0,0,0,0,82.68913695,82.68913695,主干路,2022,劲松路
2076,5,15826,0,0,0,0,82.94682022,82.94682022,主干路,2022,京开路右辅路
2077,5,15825,0,0,0,0,83.34405653,83.34405653,主干路,2022,京开路左辅路
2078,5,90329.03138,0,0,0,0,84.21022838,84.21022838,主干路,2022,京通快速路左辅路
2079,5,90010.12334,0,0,0,0,82.63954593,82.63954593,主干路,2022,京通快速路右辅路
2080,5,275236.4677,0,0,0,0,83.81554938,83.81554938,主干路,2022,四环路内环辅路
2081,5,283615.2736,0,0,0,0,83.95386393,83.95386393,主干路,2022,四环路外环辅路
2082,5,20770,0,0,0,0,82.16700132,82.16700132,主干路,2022,土城西侧路
2083,5,9399.2,0,0,0,0,82.95021894,82.95021894,主干路,2022,西四南大街
2084,5,22678.5,0,0,0,0,82.7212215,82.7212215,主干路,2022,西直门北大街右侧辅路
2085,5,24552,0,0,0,0,82.6065727,82.6065727,主干路,2022,西直门北大街左侧辅路
2086,5,11378.6,0,0,0,0,83.04591717,83.04591717,主干路,2022,新街口南大街
2087,5,48624,0,0,0,0,81.11763436,81.11763436,次干路,2022,阜安西路
2088,5,27723.5,0,0,0,0,80.97922763,80.97922763,次干路,2022,和平里东街
2089,5,95399,0,0,0,0,81.57195163,81.57195163,主干路,2022,后厂村路（东北旺北路）
2090,5,32544,0,0,0,0,85.69396228,85.69396228,次干路,2022,天坛路
2091,5,44698.8,0,0,0,0,81.82439738,81.82439738,次干路,2022,望京街
2092,5,43811.1,0,0,0,0,80.50988793,80.50988793,次干路,2022,香山路
2093,5,87108,0,0,0,0,85.11373175,85.11373175,主干路,2022,西三旗南路
2094,6,46097,0,0,0,0,81.63081704,81.63081704,快速路,2022,德外大街
2095,6,723374,0,0,0,0,86.25432756,86.25432756,主干路,2022,三环路 
2096,6,122512,0,0,0,0,81.35201822,81.35201822,主干路,2022,G6辅路（八达岭右侧辅路）
2097,6,26564.5,0,0,0,0,82.73723423,82.73723423,主干路,2022,德胜门外大街右侧辅路
2098,6,63621,0,0,0,0,80.80943121,80.80943121,主干路,2022,复兴路
2099,6,20427,0,0,0,0,80.53686023,80.53686023,主干路,2022,虎坊路
2100,6,34800,0,0,0,0,82.4923186,82.4923186,主干路,2022,来广营西路
2101,6,144392,0,0,0,0,82.48530136,82.48530136,主干路,2022,石景山路
2102,6,143726.615,0,0,0,0,84.7187195,84.7187195,主干路,2022,四环路内环辅路
2103,6,148101.9705,0,0,0,0,85.01367285,85.01367285,主干路,2022,四环路外环辅路
2104,6,24186,0,0,0,0,81.67670681,81.67670681,主干路,2022,西单北大街
2105,6,24186,0,0,0,0,81.67670681,81.67670681,主干路,2022,西单北大街
2106,6,5130,0,0,0,0,81.92353924,81.92353924,主干路,2022,西单北大街
2107,6,5130,0,0,0,0,81.92353924,81.92353924,主干路,2022,西单北大街
2108,6,14829,0,0,0,0,81.44918656,81.44918656,主干路,2022,西四北大街
2109,6,8700,0,0,0,0,83.40679572,83.40679572,次干路,2022,北池子大街
2110,6,17748,0,0,0,0,82.72902815,82.72902815,次干路,2022,北河沿北大街
2111,6,15060,0,0,0,0,81.92296728,81.92296728,次干路,2022,北河沿南大街
2112,6,7142.5,0,0,0,0,82.08849048,82.08849048,次干路,2022,地安门内大街
2113,6,20227.1,0,0,0,0,83.91743526,83.91743526,次干路,2022,鼓楼西大街
2114,6,7410.8,0,0,0,0,82.55255484,82.55255484,次干路,2022,旧鼓楼大街
2115,6,14941,0,0,0,0,83.49504656,83.49504656,次干路,2022,南河沿大街
2116,6,53775.7,0,0,0,0,83.65330908,83.65330908,主干路,2022,东坝南二街
2117,7,120797.118,0,0,0,0,83.95073229,83.95073229,快速路,2022,莲西路
2118,7,188939.082,0,0,0,0,86.06425229,86.06425229,快速路,2022,莲西路
2119,7,104131.6,0,0,0,0,83.78599614,83.78599614,主干路,2022,G6辅路（八达岭左侧辅路）
2120,7,24174,0,0,0,0,82.32367793,82.32367793,主干路,2022,长椿街
2121,7,47384.56862,0,0,0,0,81.8513035,81.8513035,主干路,2022,京通快速路左辅路
2122,7,47217.27666,0,0,0,0,82.02443246,82.02443246,主干路,2022,京通快速路右辅路
2123,7,63277.793,0,0,0,0,82.94275972,82.94275972,主干路,2022,莲花池西路右侧辅路
2124,7,38682.06016,0,0,0,0,83.66420955,83.66420955,主干路,2022,莲花池西路左侧辅路
2125,7,16595,0,0,0,0,83.53407035,83.53407035,主干路,2022,牛街
2126,7,96949.1187,0,0,0,0,83.19699465,83.19699465,主干路,2022,三环路内环辅路
2127,7,48009.94696,0,0,0,0,81.96372352,81.96372352,主干路,2022,三环路内环辅路
2128,7,84878.88151,0,0,0,0,82.44450493,82.44450493,主干路,2022,三环路外环辅路
2129,7,42032.67295,0,0,0,0,80.30152624,80.30152624,主干路,2022,三环路外环辅路
2130,7,14770,0,0,0,0,81.71299131,81.71299131,主干路,2022,西土城路 
2131,7,78489,0,0,0,0,82.52360192,82.52360192,主干路,2022,知春路
2132,7,28240,0,0,0,0,78.85900474,78.85900474,次干路,2022,建材城东路
2133,7,84052,0,0,0,0,83.03084512,83.03084512,次干路,2022,建材城西路
2134,7,8130.3,0,0,0,0,81.94864674,81.94864674,次干路,2022,南池子大街
2135,7,37142,0,0,0,0,81.1217634,81.1217634,主干路,2022,望京东路
2136,7,31172,0,0,0,0,82.76254262,82.76254262,主干路,2022,鲁坨路
2137,8,20811.5,0,0,0,0,81.88702549,81.88702549,主干路,2022,北蜂窝路
2138,8,136009,0,0,0,0,81.56427025,81.56427025,主干路,2022,朝阳路
2139,8,21272.9,0,0,0,0,81.49966153,81.49966153,主干路,2022,光明路
2140,8,79138.97708,0,0,0,0,79.50593332,79.50593332,主干路,2022,三环路内环辅路
2141,8,77435.39832,0,0,0,0,82.74056677,82.74056677,主干路,2022,三环路内环辅路
2142,8,67368.79654,0,0,0,0,81.3749253,81.3749253,主干路,2022,三环路内环辅路
2143,8,69286.11574,0,0,0,0,82.52828639,82.52828639,主干路,2022,三环路外环辅路
2144,8,67794.63379,0,0,0,0,81.71288259,81.71288259,主干路,2022,三环路外环辅路
2145,8,58981.3314,0,0,0,0,81.4206449,81.4206449,主干路,2022,三环路外环辅路
2146,8,74880,0,0,0,0,82.45915392,82.45915392,主干路,2022,上地西路
2147,8,21943,0,0,0,0,82.18594716,82.18594716,主干路,2022,体育馆路
2148,8,69732,0,0,0,0,79.29415163,79.29415163,主干路,2022,望京北路
2149,8,35247,0,0,0,0,82.16745511,82.16745511,主干路,2022,新街口外大街
2150,8,16725.3,0,0,0,0,81.64260146,81.64260146,次干路,2022,美术馆后街
2151,9,159643,0,0,0,0,81.3556982,81.3556982,主干路,2022,阜成路
2152,9,33698.25857,0,0,0,0,80.7512914,80.7512914,主干路,2022,G4辅路（京石右侧辅路）
2153,9,98342.95587,0,0,0,0,82.33652594,82.33652594,主干路,2022,三环路内环辅路
2154,9,86099.18492,0,0,0,0,78.04860683,78.04860683,主干路,2022,三环路外环辅路
2155,9,5700,0,0,0,0,80.1589101,80.1589101,主干路,2022,杨庄大街
2156,9,38643.82,0,0,0,0,82.77623676,82.77623676,主干路,2022,卢沟桥南路
2157,9,79669,0,0,0,0,81.05137119,81.05137119,次干路,2022,周口店路
2158,9,22773,0,0,0,0,79.78215118,79.78215118,主干路,2022,后八家路（八家南北线）
2159,9,62746,0,0,0,0,81.82679161,81.82679161,主干路,2022,西三旗东路
2160,10,69851.5,0,0,0,0,83.62287661,83.62287661,主干路,2022,菜市口大街
2161,10,64561.7,0,0,0,0,80.25734291,80.25734291,主干路,2022,工人体育场北路
2162,10,65938,0,0,0,0,81.54387085,81.54387085,主干路,2022,广安路
2163,10,14898.68788,0,0,0,0,79.53181367,79.53181367,主干路,2022,京密路（京顺路）
2164,10,14898.68788,0,0,0,0,80.95787101,80.95787101,主干路,2022,G1辅路（京沈高速左辅路）
2165,10,97916.4,0,0,0,0,82.3564999,82.3564999,主干路,2022,石门路
2166,10,88075.02205,0,0,0,0,82.39946838,82.39946838,主干路,2022,三环路内环辅路
2167,10,77109.61648,0,0,0,0,82.05735133,82.05735133,主干路,2022,三环路外环辅路
2168,10,57614,0,0,0,0,80.32394643,80.32394643,主干路,2022,信息路
2169,10,10986,0,0,0,0,75.02031546,75.02031546,支路,2022,台基厂大街
2170,11,197472.5309,0,0,0,0,79.74845945,79.74845945,主干路,2022,二环路外环辅路
2171,11,27816,0,0,0,0,81.2606192,81.2606192,主干路,2022,阜成门内大街
2172,11,10440,0,0,0,0,81.87783619,81.87783619,主干路,2022,南蜂窝路
2173,11,34381.31685,0,0,0,0,81.49305317,81.49305317,主干路,2022,三环路内环辅路
2174,11,30100.8174,0,0,0,0,81.81268623,81.81268623,主干路,2022,三环路外环辅路
2175,11,39356.5,0,0,0,0,79.87938333,79.87938333,主干路,2022,三里河东路
2176,11,50252.1,0,0,0,0,82.08959187,82.08959187,主干路,2022,新东路
2177,11,43737.5,0,0,0,0,81.35365377,81.35365377,主干路,2022,颐和园路
2178,11,18256.4,0,0,0,0,81.30445509,81.30445509,次干路,2022,安定门内大街
2179,11,27265,0,0,0,0,82.09219645,82.09219645,次干路,2022,海淀南路
2180,11,43130,0,0,0,0,82.39216516,82.39216516,次干路,2022,闵庄路
2181,11,11584,0,0,0,0,82.89657688,82.89657688,主干路,2022,马连道北路
2182,12,870062.1,0,0,0,0,83.10116642,83.10116642,主干路,2022,二环路 
2183,12,118126.3766,0,0,0,0,79.35215672,79.35215672,主干路,2022,二环路外环辅路
2184,12,23584.84416,0,0,0,0,83.62247955,83.62247955,主干路,2022,二环路外环辅路
2185,12,294330,0,0,0,0,81.51114106,81.51114106,主干路,2022,京密路（京顺路）
2186,12,61289.25,0,0,0,0,80.31225418,80.31225418,主干路,2022,酒仙桥路
2187,12,12975,0,0,0,0,82.61319287,82.61319287,主干路,2022,酒仙桥南路
2188,12,14310.06161,0,0,0,0,83.33355076,83.33355076,主干路,2022,三环路内环辅路
2189,12,41195.63191,0,0,0,0,81.61289459,81.61289459,主干路,2022,三环路内环辅路
2190,12,12528.44832,0,0,0,0,81.449508,81.449508,主干路,2022,三环路外环辅路
2191,12,36066.74518,0,0,0,0,79.71082775,79.71082775,主干路,2022,三环路外环辅路
2192,12,9252.3,0,0,0,0,80.95968382,80.95968382,次干路,2022,永定路
2193,12,468646.3,0,0,0,0,80.60743206,80.60743206,主干路,2022,阜石路辅路
2194,12,468646.3,0,0,0,0,80.60743206,80.60743206,主干路,2022,阜石路辅路
2195,12,468646.3,0,0,0,0,80.60743206,80.60743206,主干路,2022,阜石路辅路
2196,12,207217,0,0,0,0,81.04041872,81.04041872,主干路,2022,金榆路（温榆河大道）
2197,12,45360.6,0,0,0,0,82.66411218,82.66411218,主干路,2022,金盏路（温榆河大道）
2198,12,28312.8,0,0,0,0,82.43468694,82.43468694,主干路,2022,康营东路（温榆河大道）
2199,12,208107,0,0,0,0,82.03992049,82.03992049,主干路,2022,榴乡路（蒲黄榆路）
2200,12,337188.9876,0,0,0,0,85.28120012,85.28120012,快速路,2022,阜石路
2201,12,337188.9876,0,0,0,0,85.28120012,85.28120012,快速路,2022,阜石路
2202,12,337188.9876,0,0,0,0,85.28120012,85.28120012,快速路,2022,阜石路
2203,12,71308.9,0,0,0,0,81.87106948,81.87106948,主干路,2022,杏石口路
2204,13,33086,0,0,0,0,80.7804523,80.7804523,主干路,2022,北苑路北段
2205,13,87205.5,0,0,0,0,81.6070402,81.6070402,主干路,2022,东长安街
2206,13,44920.5,0,0,0,0,84.57230521,84.57230521,主干路,2022,京密路（京顺路）
2207,13,10658,0,0,0,0,82.99940344,82.99940344,主干路,2022,手帕口北街
2208,13,108806,0,0,0,0,82.2183177,82.2183177,主干路,2022,西长安街
2209,13,50653.8,0,0,0,0,79.1821925,79.1821925,主干路,2022,北湖渠路(鼎成路)
2210,13,40080,0,0,0,0,83.09339995,83.09339995,主干路,2022,万寿路
2211,13,84760,0,0,0,0,81.97505652,81.97505652,次干路,2022,望京西路
2212,13,13692.5,0,0,0,0,76.89113797,76.89113797,次干路,2022,永定路
2213,14,20249.29821,0,0,0,0,81.14200208,81.14200208,主干路,2022,北辰路
2214,14,80694.4,0,0,0,0,81.09419077,81.09419077,主干路,2022,广渠路
2215,14,80694.4,0,0,0,0,81.09419077,81.09419077,主干路,2022,广渠路
2216,14,20268,0,0,0,0,82.03796824,82.03796824,主干路,2022,前门大街
2217,14,111034.2,0,0,0,0,80.37794538,80.37794538,主干路,2022,四环路内环辅路
2218,14,118035.5791,0,0,0,0,79.49960858,79.49960858,主干路,2022,四环路外环辅路
2219,14,16353,0,0,0,0,77.52328521,77.52328521,主干路,2022,西大望路
2220,14,8744.5,0,0,0,0,80.60395062,80.60395062,次干路,2022,东华门大街
2221,14,14269.9,0,0,0,0,80.56608258,80.56608258,次干路,2022,香山路
2222,14,242814.25,0,0,0,0,81.65251399,81.65251399,主干路,2022,安立路
2223,14,242814.25,0,0,0,0,81.65251399,81.65251399,主干路,2022,安立路
2224,14,57460.55,0,0,0,0,84.59526665,84.59526665,主干路,2022,奥林西路
2225,14,72843.282,0,0,0,0,76.93422936,76.93422936,主干路,2022,北辰东路
2226,14,12301.98,0,0,0,0,79.60292439,79.60292439,主干路,2022,北辰桥改造道路
2227,14,83082.81,0,0,0,0,80.77094865,80.77094865,主干路,2022,北辰西路
2228,14,83082.81,0,0,0,0,80.77094865,80.77094865,主干路,2022,北辰西路
2229,14,141018.2,0,0,0,0,82.46021986,82.46021986,主干路,2022,北土城东路
2230,14,169285.72,0,0,0,0,83.60195961,83.60195961,主干路,2022,大屯路
2231,14,63039.4,0,0,0,0,79.72712174,79.72712174,主干路,2022,高梁桥路
2232,14,64400,0,0,0,0,83.14192739,83.14192739,主干路,2022,和平里北街
2233,14,115053.14,0,0,0,0,79.90602237,79.90602237,主干路,2022,慧忠路
2234,14,271131.73,0,0,0,0,78.28093681,78.28093681,主干路,2022,机场二通道辅路
2235,14,29103,0,0,0,0,80.6486161,80.6486161,主干路,2022,姜庄路
2236,14,82599,0,0,0,0,79.96136616,79.96136616,主干路,2022,康辛路
2237,14,144684.05,0,0,0,0,84.2158866,84.2158866,主干路,2022,马连洼北路
2238,14,23324,0,0,0,0,81.23843773,81.23843773,主干路,2022,陶然亭路
2239,14,36406.4,0,0,0,0,79.54546054,79.54546054,主干路,2022,万寿路
2240,14,57151.5,0,0,0,0,79.80325726,79.80325726,主干路,2022,北京西站南路(西客站南路)
2241,14,38815.18,0,0,0,0,82.68178645,82.68178645,主干路,2022,小营西路
2242,14,66248,0,0,0,0,79.50749323,79.50749323,主干路,2022,永定门内大街
2243,14,130225.25,0,0,0,0,76.51039655,76.51039655,主干路,2022,张仪村路
2244,15,30512.11947,0,0,0,0,80.5455201,80.5455201,主干路,2022,三里河路
2245,15,16779,0,0,0,0,78.43324567,78.43324567,主干路,2022,五四大街
2246,15,34010,0,0,0,0,83.30912396,83.30912396,主干路,2022,地安门东大街
2247,15,61987,0,0,0,0,78.35780266,78.35780266,主干路,2022,地安门西大街
2248,15,28800,0,0,0,0,78.14130342,78.14130342,主干路,2022,东大桥路
2249,15,54746,0,0,0,0,81.01733202,81.01733202,主干路,2022,东四十条
2250,15,65126.4,0,0,0,0,82.50333725,82.50333725,主干路,2022,东直门外大街
2251,15,36000,0,0,0,0,78.41746929,78.41746929,主干路,2022,丰葆路
2252,15,67160,0,0,0,0,81.4312003,81.4312003,主干路,2022,阜成门外大街
2253,15,26725.2,0,0,0,0,80.95393342,80.95393342,主干路,2022,工人体育场东路
2254,15,45043,0,0,0,0,81.73736375,81.73736375,主干路,2022,平安里西大街
2255,15,38376,0,0,0,0,76.44697431,76.44697431,主干路,2022,蒲黄榆路
2256,15,31120,0,0,0,0,80.43695259,80.43695259,主干路,2022,太平街
2257,15,14882.9,0,0,0,0,80.51177401,80.51177401,主干路,2022,天桥南大街
