道路名称,年份,路龄,无含义,预期达到的pci,车道面积,道路属性（主干路）,道路属性（次干路）,道路属性（支路）,道路属性（快速路）,预测总钱数
1,2023,2,58.26008653,89.85,20521.9,1,0,0,0,-7.496804917
2,2023,2,58.26007861,86.96,45337.21212,1,0,0,0,0.992864222
3,2023,2,58.26007921,87.18,45337.21212,1,0,0,0,0.685484339
4,2023,2,58.26010137,95.27,112080,0,1,0,0,-15.4723608
5,2023,2,58.2600983,94.15,118955,1,0,0,0,4.452928029
6,2023,2,58.2600934,92.36,118955,1,0,0,0,6.892925856
7,2023,2,58.26009647,93.48,90620,1,0,0,0,0.282898299
8,2023,2,58.26011181,99.08,66248,1,0,0,0,-11.10103805
9,2023,2,58.26008332,88.68,59296,1,0,0,0,1.150634427
10,2023,2,58.26010885,98,31549,1,0,0,0,-15.80422227
11,2023,2,58.26009214,91.9,21006,0,1,0,0,-26.41018829
12,2023,2,58.26006365,81.5,121256.7779,1,0,0,0,23.4914395
13,2023,2,58.26008968,91,37084,0,1,0,0,-22.73523059
14,2023,2,58.26010496,96.58,82351.8,1,0,0,0,-5.206416767
15,2023,2,58.26007401,85.28,21742,1,0,0,0,-1.001024749
16,2023,2,58.26010277,95.78,16694.5,1,0,0,0,-15.71173628
17,2023,2,58.26009756,93.88,30984,1,0,0,0,-10.84534151
18,2023,3,58.2600805,87.65,86502.12939,1,0,0,0,8.432545443
19,2023,3,58.2600825,88.38,89135.44523,1,0,0,0,7.883069902
20,2023,3,58.26006713,82.77,22945,0,1,0,0,-13.77225083
21,2023,3,58.26008195,88.18,37965,0,1,0,0,-17.94772091
22,2023,3,58.26009863,94.27,31555,1,0,0,0,-10.07825189
23,2023,3,58.2601037,96.12,36612.25,1,0,0,0,-11.46554163
24,2023,3,58.26006565,82.23,27851,1,0,0,0,5.429471195
25,2023,3,58.26009378,92.5,26938.8,1,0,0,0,-8.677361279
26,2023,3,58.26010567,96.84,31325.99666,1,0,0,0,-13.23093582
27,2023,3,58.2600951,92.98,56649.8,1,0,0,0,-4.072103396
28,2023,3,58.26008809,90.42,83490,1,0,0,0,4.055782341
29,2023,3,58.2600994,94.55,59846.4,1,0,0,0,-5.511076474
30,2023,3,58.26008847,90.56,14209,0,1,0,0,-24.58495023
31,2023,3,58.26008847,90.56,49568,0,1,0,0,-18.85897986
32,2023,3,58.26007921,87.18,17564,1,0,0,0,-3.394779585
33,2023,4,58.26011348,99.69,52980,1,0,0,0,-11.70763729
34,2023,4,58.26010657,97.17,60398,1,0,0,0,-7.529447028
35,2023,4,58.26008595,89.64,49784,1,0,0,0,0.065284223
36,2023,4,58.26007971,87.36,121102.9811,1,0,0,0,15.85046526
37,2023,4,58.26007916,87.16,124789.6233,1,0,0,0,16.79708649
38,2023,4,58.26009554,93.14,45576,1,0,0,0,-5.146572896
39,2023,4,58.26008773,90.29,61099,1,0,0,0,1.196877418
40,2023,4,58.26006724,82.81,164380,1,0,0,0,30.53669521
41,2023,4,58.2600702,83.89,142458.1,1,0,0,0,24.83520642
42,2023,4,58.2600785,86.92,16856.2,1,0,0,0,-2.16253988
43,2023,4,58.2600785,86.92,22995,1,0,0,0,-1.069029148
44,2023,4,58.2600719,84.51,10632,1,0,0,0,-0.024481584
45,2023,4,58.26006453,81.82,32927.1,1,0,0,0,7.806904975
46,2023,4,58.26010066,95.01,43232,1,0,0,0,-7.839547086
47,2023,4,58.26008885,90.7,9662,1,0,0,0,-8.30741735
48,2023,4,58.26008023,87.55,10913,0,1,0,0,-20.30883364
49,2023,5,58.26009006,91.14,7163,0,1,0,0,-23.55672372
50,2023,5,58.26007327,85.01,7563.7,0,1,0,0,-16.60123382
51,2023,5,58.26008466,89.17,5423.9,0,1,0,0,-21.67708214
52,2023,5,58.26009209,91.88,325713,1,0,0,0,45.95193231
53,2023,5,58.26007124,84.27,36650,0,1,0,0,-11.0167126
54,2023,5,58.26007694,86.35,68054,1,0,0,0,8.590315648
55,2023,5,58.26009266,92.09,36398,1,0,0,0,-4.352281519
56,2023,5,58.26008354,88.76,12025.12679,1,0,0,0,-4.368602575
57,2023,5,58.26007902,87.11,12391.1982,1,0,0,0,-2.184301287
58,2023,5,58.26009981,94.7,33941,1,0,0,0,-7.926592717
59,2023,5,58.26008915,90.81,25444,1,0,0,0,-4.635179818
60,2023,5,58.26009324,92.3,90833.5,1,0,0,0,4.662381577
61,2023,5,58.26007351,85.1,14172,0,1,0,0,-15.64101171
62,2023,6,58.26009011,91.16,384394,1,0,0,0,57.41203359
63,2023,6,58.26007362,85.14,34747.5,1,0,0,0,5.249939583
64,2023,6,58.2600341,70.71,62000,1,0,0,0,31.59484365
65,2023,6,58.26007634,86.13,30635.4,1,0,0,0,3.226128676
66,2023,6,58.26007338,85.05,51657.9,1,0,0,0,8.30741735
67,2023,6,58.26009154,91.68,34658.8,1,0,0,0,-3.098280406
68,2023,6,58.26006467,81.87,15826,1,0,0,0,6.348890666
69,2023,6,58.26007015,83.87,15825,1,0,0,0,3.642315596
70,2023,6,58.26009537,93.08,90329.03138,1,0,0,0,4.493730669
71,2023,6,58.2600983,94.15,90010.12334,1,0,0,0,3.114601462
72,2023,6,58.26008395,88.91,275236.4677,1,0,0,0,41.82270522
73,2023,6,58.26008313,88.61,283615.2736,1,0,0,0,43.74586962
74,2023,6,58.26008724,90.11,20770,1,0,0,0,-3.511747151
75,2023,6,58.26006563,82.22,9399.2,1,0,0,0,4.738546504
76,2023,6,58.26008702,90.03,22678.5,1,0,0,0,-3.090119879
77,2023,6,58.26008913,90.8,24552,1,0,0,0,-3.721200699
78,2023,6,58.26004722,75.5,11378.6,1,0,0,0,14.6699089
79,2023,6,58.2600931,92.25,48624,0,1,0,0,-17.04190232
80,2023,6,58.26004111,73.27,27723.5,0,1,0,0,2.818102284
81,2023,6,58.26006349,81.44,95399,1,0,0,0,21.11128554
82,2023,6,58.26007858,86.95,32544,0,1,0,0,-13.64984291
83,2023,6,58.26008896,90.74,44698.8,0,1,0,0,-16.00823546
84,2023,6,58.26007883,87.04,43811.1,0,1,0,0,-11.98509523
85,2023,6,58.26008288,88.52,87108,1,0,0,0,9.806234298
86,2023,7,58.26008718,90.09,46097,0,0,1,0,2.777299644
87,2023,7,58.26009167,91.73,723374,1,0,0,0,115.3300199
88,2023,7,58.26007458,85.49,122512,1,0,0,0,20.71686003
89,2023,7,58.26007527,85.74,26564.5,1,0,0,0,3.955135831
90,2023,7,58.26007625,86.1,63621,1,0,0,0,9.79807377
91,2023,7,58.26007409,85.31,20427,1,0,0,0,3.462783984
92,2023,7,58.26008335,88.69,34800,1,0,0,0,1.60490381
93,2023,7,58.26007998,87.46,144392,1,0,0,0,21.74508654
94,2023,7,58.26007861,86.96,143726.615,1,0,0,0,22.32176384
95,2023,7,58.26008425,89.02,148101.9705,1,0,0,0,20.24898977
96,2023,7,58.26006163,80.76,24186,1,0,0,0,10.18161858
97,2023,7,58.26006163,80.76,5130,1,0,0,0,6.849403041
98,2023,7,58.26006253,81.09,14829,1,0,0,0,8.095243626
99,2023,7,58.26011008,98.45,8700,1,0,0,0,-13.8892184
100,2023,7,58.26006924,83.54,17748,1,0,0,0,5.315223805
101,2023,7,58.26005563,78.57,15060,0,1,0,0,-5.25810011
102,2023,7,58.2601017,95.39,7142.5,0,1,0,0,-25.09362313
103,2023,7,58.26004812,75.83,20227.1,0,1,0,0,-0.922139647
104,2023,7,58.26007598,86,7410.8,0,1,0,0,-15.2574669
105,2023,7,58.26005998,80.16,14941,0,1,0,0,-7.246548729
106,2023,7,58.26008157,88.04,53775.7,0,1,0,0,-10.41283353
107,2023,8,58.26005807,79.46,120797.118,0,1,0,0,11.46554163
108,2023,8,58.26005807,79.46,188939.082,1,0,0,0,41.58604992
109,2023,8,58.26007836,86.87,104131.6,0,0,1,0,18.38566924
110,2023,8,58.26007094,84.16,24174,0,0,1,0,7.785143567
111,2023,8,58.26009537,93.08,47384.56862,1,0,0,0,-0.641961524
112,2023,8,58.2600983,94.15,47217.27666,1,0,0,0,-1.904123165
113,2023,8,58.26007023,83.9,63277.793,1,0,0,0,13.44310954
114,2023,8,58.2600742,85.35,38682.06016,1,0,0,0,7.393438231
115,2023,8,58.26006839,83.23,16595,1,0,0,0,6.406014361
116,2023,8,58.26008968,91,96949.1187,1,0,0,0,9.896000104
117,2023,8,58.26008209,88.23,48009.94696,1,0,0,0,5.29890275
118,2023,8,58.26007395,85.26,84878.88151,1,0,0,0,15.28194848
119,2023,8,58.2600762,86.08,42032.67295,1,0,0,0,7.012613598
120,2023,8,58.26009417,92.64,14770,1,0,0,0,-5.375067676
121,2023,8,58.26008097,87.82,78489,1,0,0,0,10.86982309
122,2023,8,58.26009017,91.18,28240,1,0,0,0,-1.5042573
123,2023,8,58.26008968,91,84052,1,0,0,0,7.787863743
124,2023,8,58.26007228,84.65,8130.3,0,1,0,0,-12.42032339
125,2023,8,58.26009293,92.19,37142,0,1,0,0,-16.16600567
126,2023,8,58.26008943,90.91,31172,0,1,0,0,-15.72261699
127,2023,9,58.26007891,87.07,20811.5,1,0,0,0,3.177165509
128,2023,9,58.26007223,84.63,136009,1,0,0,0,25.36292055
129,2023,9,58.26007412,85.32,21272.9,1,0,0,0,5.410429964
130,2023,9,58.26008299,88.56,79138.97708,1,0,0,0,10.84262133
131,2023,9,58.26009241,92,77435.39832,1,0,0,0,6.376092426
132,2023,9,58.26009247,92.02,67368.79654,1,0,0,0,4.746707032
133,2023,9,58.26008351,88.75,69286.11574,1,0,0,0,9.001062217
134,2023,9,58.26007341,85.06,67794.63379,1,0,0,0,13.42678849
135,2023,9,58.26007614,86.06,58981.3314,1,0,0,0,10.69029148
136,2023,9,58.26005571,78.6,74880,1,0,0,0,23.39079299
137,2023,9,58.26007294,84.89,21943,1,0,0,0,6.060552015
138,2023,9,58.26007743,86.53,69732,1,0,0,0,11.85996714
139,2023,9,58.26004292,73.93,35247,1,0,0,0,23.2194219
140,2023,9,58.26008239,88.34,16725.3,1,0,0,0,0.984703694
141,2023,10,58.26007634,86.13,159643,1,0,0,0,27.76755609
142,2023,10,58.260065,81.99,33698.25857,0,1,0,0,-3.315894482
143,2023,10,58.26008318,88.63,98342.95587,1,0,0,0,14.61550538
144,2023,10,58.26007606,86.03,86099.18492,1,0,0,0,15.91846966
145,2023,10,58.26006475,81.9,5700,1,0,0,0,8.019078699
146,2023,10,58.26007184,84.49,38643.82,1,0,0,0,10.14897647
147,2023,10,58.2600461,75.09,79669,1,0,0,0,29.8022477
148,2023,10,58.26008149,88.01,22773,1,0,0,0,3.296853251
149,2023,10,58.26006735,82.85,62746,0,1,0,0,0.054403519
150,2023,11,58.26007973,87.37,69851.5,1,0,0,0,12.38768127
151,2023,11,58.260071,84.18,64561.7,1,0,0,0,15.50500291
152,2023,11,58.26006842,83.24,65938,1,0,0,0,16.91949441
153,2023,11,58.26007861,86.96,14898.68788,1,0,0,0,4.21083237
154,2023,11,58.26007921,87.18,14898.68788,1,0,0,0,3.955135831
155,2023,11,58.26004443,74.48,97916.4,1,0,0,0,34.27421696
156,2023,11,58.26007812,86.78,88075.02205,1,0,0,0,16.00279511
157,2023,11,58.26007423,85.36,77109.61648,1,0,0,0,16.02727669
158,2023,11,58.2600625,81.08,57614,1,0,0,0,18.36662801
159,2023,11,58.26006453,81.82,10986,1,0,0,0,9.822555354
160,2023,12,58.26007732,86.49,197472.5309,1,0,0,0,34.26333626
161,2023,12,58.2600312,69.65,27816,0,0,0,1,-87.11635496
162,2023,12,58.26006004,80.18,10440,1,0,0,0,12.59441465
163,2023,12,58.26008606,89.68,34381.31685,1,0,0,0,5.013284275
164,2023,12,58.26006543,82.15,30100.8174,1,0,0,0,13.27445863
165,2023,12,58.26005475,78.25,39356.5,1,0,0,0,19.7702388
166,2023,12,58.2600742,85.35,50252.1,1,0,0,0,12.53457078
167,2023,12,58.26009466,92.82,43737.5,1,0,0,0,2.948670729
168,2023,12,58.26005867,79.68,18256.4,1,0,0,0,14.48765711
169,2023,12,58.26007253,84.74,27265,1,0,0,0,9.662064973
170,2023,12,58.26005423,78.06,43130,0,1,0,0,4.580776299
171,2023,12,58.26006968,83.7,11584,0,1,0,0,-6.327129259
172,2023,13,58.26007916,87.16,870062.1,0,1,0,0,113.9998539
173,2023,13,58.26008028,87.57,118126.3766,1,0,0,0,21.0487215
174,2023,13,58.26007732,86.49,23584.84416,1,0,0,0,7.874909374
175,2023,13,58.26005987,80.12,294330,1,0,0,0,59.02237775
176,2023,13,58.26005078,76.8,61289.25,1,0,0,0,25.86887328
177,2023,13,58.26004549,74.87,12975,1,0,0,0,20.58901176
178,2023,13,58.26007365,85.15,14310.06161,1,0,0,0,8.002757643
179,2023,13,58.26008146,88,41195.63191,1,0,0,0,8.821530604
180,2023,13,58.26007571,85.9,12528.44832,1,0,0,0,6.863003921
181,2023,13,58.26007943,87.26,36066.74518,1,0,0,0,8.892255179
182,2023,13,58.26005793,79.41,9252.3,1,0,0,0,14.13403423
183,2023,13,58.26008105,87.85,468646.3,1,0,0,0,75.22646588
184,2023,13,58.26007357,85.12,207217,0,1,0,0,20.80118549
185,2023,13,58.2600754,85.79,45360.6,1,0,0,0,12.0231777
186,2023,13,58.26008285,88.51,28312.8,1,0,0,0,6.294487147
187,2023,13,58.26008485,89.24,208107,1,0,0,0,32.74003773
188,2023,13,58.26009228,91.95,337188.9876,1,0,0,0,48.90332322
189,2023,13,58.26003977,72.78,71308.9,1,0,0,0,33.07461937
190,2023,14,58.26004829,75.89,33086,1,0,0,0,23.10517451
191,2023,14,58.26010074,95.04,87205.5,1,0,0,0,8.696402511
192,2023,14,58.26005987,80.12,44920.5,0,0,1,0,19.41117558
193,2023,14,58.2600627,81.15,10658,0,0,1,0,12.18638825
194,2023,14,58.26009069,91.37,108806,0,0,1,0,15.08609582
195,2023,14,58.26009828,94.14,50653.8,1,0,0,0,4.393084158
196,2023,14,58.26007809,86.77,40080,1,0,0,0,10.87254327
197,2023,14,58.26007828,86.84,84760,1,0,0,0,17.50705241
198,2023,14,58.26005793,79.41,13692.5,1,0,0,0,15.57028713
199,2023,15,58.26007404,85.29,20249.29821,1,0,0,0,10.40195283
200,2023,15,58.26003799,72.13,80694.4,1,0,0,0,36.32522963
201,2023,15,58.26006061,80.39,20268,1,0,0,0,16.10888197
202,2023,15,58.26008907,90.78,111034.2,1,0,0,0,17.52609364
203,2023,15,58.26008776,90.3,118035.5791,0,1,0,0,4.41212539
204,2023,15,58.26007146,84.35,16353,0,1,0,0,-3.179885685
205,2023,15,58.26008209,88.23,8744.5,1,0,0,0,5.47299401
206,2023,15,58.26007883,87.04,14269.9,1,0,0,0,7.570249667
207,2023,15,58.26007124,84.27,242814.25,1,0,0,0,45.14948041
208,2023,15,58.26007645,86.17,57460.55,1,0,0,0,14.90928438
209,2023,15,58.26011093,98.76,72843.282,1,0,0,0,3.748402458
210,2023,15,58.26009646,93.47647893,12301.98,1,0,0,0,0.538594838
211,2023,15,58.26008157,88.04,83082.81,1,0,0,0,16.55227065
212,2023,15,58.26005275,77.52,141018.2,0,1,0,0,21.66076109
213,2023,15,58.26009551,93.13,169285.72,0,1,0,0,8.28021559
214,2023,15,58.2600808,87.76,63039.4,1,0,0,0,13.92730086
215,2023,15,58.26003331,70.42,64400,1,0,0,0,36.08585415
216,2023,15,58.26007751,86.56,115053.14,1,0,0,0,23.004528
217,2023,15,58.26007288,84.87,271131.73,1,0,0,0,48.65306703
218,2023,15,58.26008707,90.05,29103,1,0,0,0,6.479459112
219,2023,15,58.26006308,81.29,82599,1,0,0,0,24.53054671
220,2023,15,58.26005305,77.63,144684.05,1,0,0,0,38.93115819
221,2023,15,58.26003867,72.38,23324,1,0,0,0,26.76653134
222,2023,15,58.26007346,85.08,36406.4,1,0,0,0,13.03780333
223,2023,15,58.26007269,84.8,57151.5,1,0,0,0,16.45162414
224,2023,15,58.26006795,83.07,38815.18,1,0,0,0,15.73077752
225,2023,15,58.26011181,99.08,66248,1,0,0,0,2.532483809
226,2023,15,58.2600281,68.52,130225.25,1,0,0,0,49.67041284
227,2023,16,58.26006155,80.73,30512.11947,1,0,0,0,17.94772091
228,2023,16,58.26006924,83.54,16779,1,0,0,0,12.64881817
229,2023,16,58.26008351,88.75,34010,1,0,0,0,9.411808785
230,2023,16,58.26009392,92.55,61987,1,0,0,0,9.362845618
231,2023,16,58.26005935,79.93,28800,1,0,0,0,18.64952631
232,2023,16,58.26009589,93.27,54746,1,0,0,0,7.608332131
233,2023,16,58.26005768,79.32,65126.4,1,0,0,0,24.88416959
234,2023,16,58.26002884,68.79,36000,1,0,0,0,34.17085028
235,2023,16,58.26007163,84.41,67160,1,0,0,0,19.06571323
236,2023,16,58.26006053,80.36,26725.2,1,0,0,0,17.82259282
237,2023,16,58.26010211,95.54,45043,1,0,0,0,3.98233759
238,2023,16,58.26007834,86.86,38376,1,0,0,0,12.09390227
239,2023,16,58.26005924,79.89,31120,1,0,0,0,19.04123165
240,2023,16,58.26006059,80.38,14882.9,1,0,0,0,16.02183634
241,2023,16,58.26009269,92.1,20252,1,0,0,0,3.979617414
242,2023,16,58.26005675,78.98,80467.9,1,0,0,0,27.63698765
243,2023,16,58.2600192,65.27,20676.6,1,0,0,0,36.6570911
244,2023,16,58.26007193,84.52,52912,1,0,0,0,16.84332948
245,2023,16,58.26005012,76.56,58939.4,1,0,0,0,27.41665339
246,2023,16,58.26010112,95.18,27633.8,1,0,0,0,1.942205628
247,2023,16,58.2600461,75.09,11500,1,0,0,0,21.95726026
248,2023,16,58.2600461,75.09,47514,1,0,0,0,27.54178149
249,2023,16,58.26007532,85.76,14820,1,0,0,0,9.8851194
250,2023,16,58.2600905,91.3,36918.72,1,0,0,0,7.137741691
251,2023,16,58.26004859,76,111047.5,1,0,0,0,36.21370242
252,2023,16,58.26007891,87.07,79548.97,1,0,0,0,17.82259282
253,2023,16,58.26007656,86.21,73814.5,1,0,0,0,17.96676215
254,2023,16,58.26008368,88.81,168837.4,1,0,0,0,28.74681943
255,2023,16,58.26002681,68.05,57396.5,0,1,0,0,21.90013657
256,2023,16,58.26007072,84.08,60807.5,0,1,0,0,4.017699877
257,2023,16,58.26007264,84.78,34094.63,0,1,0,0,-0.247536011
258,2023,17,58.26009162,91.71,7603,1,0,0,0,3.519907679
259,2023,17,58.26009162,91.71,56974,1,0,0,0,10.33394843
260,2023,17,58.26005834,79.56,110314,1,0,0,0,31.88590248
