道路名称,路龄,年份,前一年pci,当年pci,总钱数,车道面积,道路属性
1,2,2023,89.85,89.85,0,20521.9,主干路
2,2,2023,86.96,86.96,0,45337.21212,主干路
3,2,2023,87.18,87.18,0,45337.21212,主干路
4,2,2023,95.27,95.27,0,112080,次干路
5,2,2023,94.15,94.15,0,118955,主干路
6,2,2023,92.36,92.36,0,118955,主干路
7,2,2023,93.48,93.48,0,90620,主干路
8,2,2023,99.08,99.08,0,66248,主干路
9,2,2023,88.68,88.68,0,59296,主干路
10,2,2023,98,98,0,31549,主干路
11,2,2023,91.9,91.9,0,21006,次干路
12,2,2023,81.5,81.5,0,121256.7779,主干路
13,2,2023,91,91,0,37084,次干路
14,2,2023,96.58,96.58,0,82351.8,主干路
15,2,2023,85.28,85.28,0,21742,主干路
16,2,2023,95.78,95.78,0,16694.5,主干路
17,2,2023,93.88,93.88,0,30984,主干路
18,3,2023,87.65,87.65,0,86502.12939,主干路
19,3,2023,88.38,88.38,0,89135.44523,主干路
20,3,2023,82.77,82.77,0,22945,次干路
21,3,2023,88.18,88.18,0,37965,次干路
22,3,2023,94.27,94.27,0,31555,主干路
23,3,2023,96.12,96.12,0,36612.25,主干路
24,3,2023,82.23,82.23,0,27851,主干路
25,3,2023,92.5,92.5,0,26938.8,主干路
26,3,2023,96.84,96.84,0,31325.99666,主干路
27,3,2023,92.98,92.98,0,56649.8,主干路
28,3,2023,90.42,90.42,0,83490,主干路
29,3,2023,94.55,94.55,0,59846.4,主干路
30,3,2023,90.56,90.56,0,14209,次干路
31,3,2023,90.56,90.56,0,49568,次干路
32,3,2023,87.18,87.18,0,17564,主干路
33,4,2023,99.69,99.69,0,52980,主干路
34,4,2023,97.17,97.17,0,60398,主干路
35,4,2023,89.64,89.64,0,49784,主干路
36,4,2023,87.36,87.36,0,121102.9811,主干路
37,4,2023,87.16,87.16,0,124789.6233,主干路
38,4,2023,93.14,93.14,0,45576,主干路
39,4,2023,90.29,90.29,0,61099,主干路
40,4,2023,82.81,82.81,0,164380,主干路
41,4,2023,83.89,83.89,0,142458.1,主干路
42,4,2023,86.92,86.92,0,16856.2,主干路
43,4,2023,86.92,86.92,0,22995,主干路
44,4,2023,84.51,84.51,0,10632,主干路
45,4,2023,81.82,81.82,0,32927.1,主干路
46,4,2023,95.01,95.01,0,43232,主干路
47,4,2023,90.7,90.7,0,9662,主干路
48,4,2023,87.55,87.55,0,10913,次干路
49,5,2023,91.14,91.14,0,7163,次干路
50,5,2023,85.01,85.01,0,7563.7,次干路
51,5,2023,89.17,89.17,0,5423.9,次干路
52,5,2023,91.88,91.88,0,325713,主干路
53,5,2023,84.27,84.27,0,36650,次干路
54,5,2023,86.35,86.35,0,68054,主干路
55,5,2023,92.09,92.09,0,36398,主干路
56,5,2023,88.76,88.76,0,12025.12679,主干路
57,5,2023,87.11,87.11,0,12391.1982,主干路
58,5,2023,94.7,94.7,0,33941,主干路
59,5,2023,90.81,90.81,0,25444,主干路
60,5,2023,92.3,92.3,0,90833.5,主干路
61,5,2023,85.1,85.1,0,14172,次干路
62,6,2023,91.16,91.16,0,384394,主干路
63,6,2023,85.14,85.14,0,34747.5,主干路
64,6,2023,70.71,70.71,0,62000,主干路
65,6,2023,86.13,86.13,0,30635.4,主干路
66,6,2023,85.05,85.05,0,51657.9,主干路
67,6,2023,91.68,91.68,0,34658.8,主干路
68,6,2023,81.87,81.87,0,15826,主干路
69,6,2023,83.87,83.87,0,15825,主干路
70,6,2023,93.08,93.08,0,90329.03138,主干路
71,6,2023,94.15,94.15,0,90010.12334,主干路
72,6,2023,88.91,88.91,0,275236.4677,主干路
73,6,2023,88.61,88.61,0,283615.2736,主干路
74,6,2023,90.11,90.11,0,20770,主干路
75,6,2023,82.22,82.22,0,9399.2,主干路
76,6,2023,90.03,90.03,0,22678.5,主干路
77,6,2023,90.8,90.8,0,24552,主干路
78,6,2023,75.5,75.5,0,11378.6,主干路
79,6,2023,92.25,92.25,0,48624,次干路
80,6,2023,73.27,73.27,0,27723.5,次干路
81,6,2023,81.44,81.44,0,95399,主干路
82,6,2023,86.95,86.95,0,32544,次干路
83,6,2023,90.74,90.74,0,44698.8,次干路
84,6,2023,87.04,87.04,0,43811.1,次干路
85,6,2023,88.52,88.52,0,87108,主干路
86,7,2023,90.09,90.09,0,46097,快速路
87,7,2023,91.73,91.73,0,723374,主干路
88,7,2023,85.49,85.49,0,122512,主干路
89,7,2023,85.74,85.74,0,26564.5,主干路
90,7,2023,86.1,86.1,0,63621,主干路
91,7,2023,85.31,85.31,0,20427,主干路
92,7,2023,88.69,88.69,0,34800,主干路
93,7,2023,87.46,87.46,0,144392,主干路
94,7,2023,86.96,86.96,0,143726.615,主干路
95,7,2023,89.02,89.02,0,148101.9705,主干路
96,7,2023,80.76,80.76,0,24186,主干路
97,7,2023,80.76,80.76,0,5130,主干路
98,7,2023,81.09,81.09,0,14829,主干路
99,7,2023,98.45,98.45,0,8700,主干路
100,7,2023,83.54,83.54,0,17748,主干路
101,7,2023,78.57,78.57,0,15060,次干路
102,7,2023,95.39,95.39,0,7142.5,次干路
103,7,2023,75.83,75.83,0,20227.1,次干路
104,7,2023,86,86,0,7410.8,次干路
105,7,2023,80.16,80.16,0,14941,次干路
106,7,2023,88.04,88.04,0,53775.7,次干路
107,8,2023,79.46,79.46,0,120797.118,次干路
108,8,2023,79.46,79.46,0,188939.082,主干路
109,8,2023,86.87,86.87,0,104131.6,快速路
110,8,2023,84.16,84.16,0,24174,快速路
111,8,2023,93.08,93.08,0,47384.56862,主干路
112,8,2023,94.15,94.15,0,47217.27666,主干路
113,8,2023,83.9,83.9,0,63277.793,主干路
114,8,2023,85.35,85.35,0,38682.06016,主干路
115,8,2023,83.23,83.23,0,16595,主干路
116,8,2023,91,91,0,96949.1187,主干路
117,8,2023,88.23,88.23,0,48009.94696,主干路
118,8,2023,85.26,85.26,0,84878.88151,主干路
119,8,2023,86.08,86.08,0,42032.67295,主干路
120,8,2023,92.64,92.64,0,14770,主干路
121,8,2023,87.82,87.82,0,78489,主干路
122,8,2023,91.18,91.18,0,28240,主干路
123,8,2023,91,91,0,84052,主干路
124,8,2023,84.65,84.65,0,8130.3,次干路
125,8,2023,92.19,92.19,0,37142,次干路
126,8,2023,90.91,90.91,0,31172,次干路
127,9,2023,87.07,87.07,0,20811.5,主干路
128,9,2023,84.63,84.63,0,136009,主干路
129,9,2023,85.32,85.32,0,21272.9,主干路
130,9,2023,88.56,88.56,0,79138.97708,主干路
131,9,2023,92,92,0,77435.39832,主干路
132,9,2023,92.02,92.02,0,67368.79654,主干路
133,9,2023,88.75,88.75,0,69286.11574,主干路
134,9,2023,85.06,85.06,0,67794.63379,主干路
135,9,2023,86.06,86.06,0,58981.3314,主干路
136,9,2023,78.6,78.6,0,74880,主干路
137,9,2023,84.89,84.89,0,21943,主干路
138,9,2023,86.53,86.53,0,69732,主干路
139,9,2023,73.93,73.93,0,35247,主干路
140,9,2023,88.34,88.34,0,16725.3,主干路
141,10,2023,86.13,86.13,0,159643,主干路
142,10,2023,81.99,81.99,0,33698.25857,次干路
143,10,2023,88.63,88.63,0,98342.95587,主干路
144,10,2023,86.03,86.03,0,86099.18492,主干路
145,10,2023,81.9,81.9,0,5700,主干路
146,10,2023,84.49,84.49,0,38643.82,主干路
147,10,2023,75.09,75.09,0,79669,主干路
148,10,2023,88.01,88.01,0,22773,主干路
149,10,2023,82.85,82.85,0,62746,次干路
150,11,2023,87.37,87.37,0,69851.5,主干路
151,11,2023,84.18,84.18,0,64561.7,主干路
152,11,2023,83.24,83.24,0,65938,主干路
153,11,2023,86.96,86.96,0,14898.68788,主干路
154,11,2023,87.18,87.18,0,14898.68788,主干路
155,11,2023,74.48,74.48,0,97916.4,主干路
156,11,2023,86.78,86.78,0,88075.02205,主干路
157,11,2023,85.36,85.36,0,77109.61648,主干路
158,11,2023,81.08,81.08,0,57614,主干路
159,11,2023,81.82,81.82,0,10986,主干路
160,12,2023,86.49,86.49,0,197472.5309,主干路
161,12,2023,69.65,69.65,0,27816,支路
162,12,2023,80.18,80.18,0,10440,主干路
163,12,2023,89.68,89.68,0,34381.31685,主干路
164,12,2023,82.15,82.15,0,30100.8174,主干路
165,12,2023,78.25,78.25,0,39356.5,主干路
166,12,2023,85.35,85.35,0,50252.1,主干路
167,12,2023,92.82,92.82,0,43737.5,主干路
168,12,2023,79.68,79.68,0,18256.4,主干路
169,12,2023,84.74,84.74,0,27265,主干路
170,12,2023,78.06,78.06,0,43130,次干路
171,12,2023,83.7,83.7,0,11584,次干路
172,13,2023,87.16,87.16,0,870062.1,次干路
173,13,2023,87.57,87.57,0,118126.3766,主干路
174,13,2023,86.49,86.49,0,23584.84416,主干路
175,13,2023,80.12,80.12,0,294330,主干路
176,13,2023,76.8,76.8,0,61289.25,主干路
177,13,2023,74.87,74.87,0,12975,主干路
178,13,2023,85.15,85.15,0,14310.06161,主干路
179,13,2023,88,88,0,41195.63191,主干路
180,13,2023,85.9,85.9,0,12528.44832,主干路
181,13,2023,87.26,87.26,0,36066.74518,主干路
182,13,2023,79.41,79.41,0,9252.3,主干路
183,13,2023,87.85,87.85,0,468646.3,主干路
184,13,2023,85.12,85.12,0,207217,次干路
185,13,2023,85.79,85.79,0,45360.6,主干路
186,13,2023,88.51,88.51,0,28312.8,主干路
187,13,2023,89.24,89.24,0,208107,主干路
188,13,2023,91.95,91.95,0,337188.9876,主干路
189,13,2023,72.78,72.78,0,71308.9,主干路
190,14,2023,75.89,75.89,0,33086,主干路
191,14,2023,95.04,95.04,0,87205.5,主干路
192,14,2023,80.12,80.12,0,44920.5,快速路
193,14,2023,81.15,81.15,0,10658,快速路
194,14,2023,91.37,91.37,0,108806,快速路
195,14,2023,94.14,94.14,0,50653.8,主干路
196,14,2023,86.77,86.77,0,40080,主干路
197,14,2023,86.84,86.84,0,84760,主干路
198,14,2023,79.41,79.41,0,13692.5,主干路
199,15,2023,85.29,85.29,0,20249.29821,主干路
200,15,2023,72.13,72.13,0,80694.4,主干路
201,15,2023,80.39,80.39,0,20268,主干路
202,15,2023,90.78,90.78,0,111034.2,主干路
203,15,2023,90.3,90.3,0,118035.5791,次干路
204,15,2023,84.35,84.35,0,16353,次干路
205,15,2023,88.23,88.23,0,8744.5,主干路
206,15,2023,87.04,87.04,0,14269.9,主干路
207,15,2023,84.27,84.27,0,242814.25,主干路
208,15,2023,86.17,86.17,0,57460.55,主干路
209,15,2023,98.76,98.76,0,72843.282,主干路
210,15,2023,93.47647893,93.47647893,0,12301.98,主干路
211,15,2023,88.04,88.04,0,83082.81,主干路
212,15,2023,77.52,77.52,0,141018.2,次干路
213,15,2023,93.13,93.13,0,169285.72,次干路
214,15,2023,87.76,87.76,0,63039.4,主干路
215,15,2023,70.42,70.42,0,64400,主干路
216,15,2023,86.56,86.56,0,115053.14,主干路
217,15,2023,84.87,84.87,0,271131.73,主干路
218,15,2023,90.05,90.05,0,29103,主干路
219,15,2023,81.29,81.29,0,82599,主干路
220,15,2023,77.63,77.63,0,144684.05,主干路
221,15,2023,72.38,72.38,0,23324,主干路
222,15,2023,85.08,85.08,0,36406.4,主干路
223,15,2023,84.8,84.8,0,57151.5,主干路
224,15,2023,83.07,83.07,0,38815.18,主干路
225,15,2023,99.08,99.08,0,66248,主干路
226,15,2023,68.52,68.52,0,130225.25,主干路
227,16,2023,80.73,80.73,0,30512.11947,主干路
228,16,2023,83.54,83.54,0,16779,主干路
229,16,2023,88.75,88.75,0,34010,主干路
230,16,2023,92.55,92.55,0,61987,主干路
231,16,2023,79.93,79.93,0,28800,主干路
232,16,2023,93.27,93.27,0,54746,主干路
233,16,2023,79.32,79.32,0,65126.4,主干路
234,16,2023,68.79,68.79,0,36000,主干路
235,16,2023,84.41,84.41,0,67160,主干路
236,16,2023,80.36,80.36,0,26725.2,主干路
237,16,2023,95.54,95.54,0,45043,主干路
238,16,2023,86.86,86.86,0,38376,主干路
239,16,2023,79.89,79.89,0,31120,主干路
240,16,2023,80.38,80.38,0,14882.9,主干路
241,16,2023,92.1,92.1,0,20252,主干路
242,16,2023,78.98,78.98,0,80467.9,主干路
243,16,2023,65.27,65.27,0,20676.6,主干路
244,16,2023,84.52,84.52,0,52912,主干路
245,16,2023,76.56,76.56,0,58939.4,主干路
246,16,2023,95.18,95.18,0,27633.8,主干路
247,16,2023,75.09,75.09,0,11500,主干路
248,16,2023,75.09,75.09,0,47514,主干路
249,16,2023,85.76,85.76,0,14820,主干路
250,16,2023,91.3,91.3,0,36918.72,主干路
251,16,2023,76,76,0,111047.5,主干路
252,16,2023,87.07,87.07,0,79548.97,主干路
253,16,2023,86.21,86.21,0,73814.5,主干路
254,16,2023,88.81,88.81,0,168837.4,主干路
255,16,2023,68.05,68.05,0,57396.5,次干路
256,16,2023,84.08,84.08,0,60807.5,次干路
257,16,2023,84.78,84.78,0,34094.63,次干路
258,17,2023,91.71,91.71,0,7603,主干路
259,17,2023,91.71,91.71,0,56974,主干路
260,17,2023,79.56,79.56,0,110314,主干路
261,17,2023,90.15,90.15,0,138279,主干路
262,17,2023,96.77,96.77,0,66571,主干路
263,17,2023,96.94,96.94,0,32584,主干路
264,17,2023,87.5,87.5,0,21450,主干路
265,17,2023,100,100,0,143560.8,主干路
266,17,2023,82.4,82.4,0,69612,主干路
267,17,2023,84.73,84.73,0,2348678,快速路
268,17,2023,87.51,87.51,0,65744.4,快速路
269,17,2023,85.62,85.62,0,56983.2,主干路
270,17,2023,69.55,69.55,0,28272.3,快速路
271,17,2023,69.32,69.32,0,40187.7,快速路
272,17,2023,85.76,85.76,0,22820.6,快速路
273,17,2023,86.87,86.87,0,54471.43749,快速路
274,17,2023,85.49,85.49,0,38860,主干路
275,17,2023,100,100,0,23245,快速路
276,17,2023,69.75,69.75,0,12969,主干路
277,17,2023,98.76,98.76,0,9037,快速路
278,17,2023,85.29,85.29,0,37593.4,快速路
279,17,2023,88.04,88.04,0,42478.2,快速路
280,17,2023,75.19,75.19,0,440226.3,主干路
281,17,2023,87.37,87.37,0,32967.2,主干路
282,17,2023,84.64,84.64,0,112400,主干路
283,17,2023,85.59,85.59,0,34028,主干路
284,17,2023,68.41,68.41,0,57420.3,主干路
285,17,2023,82.63,82.63,0,15289.5,主干路
286,17,2023,76.47,76.47,0,14239.5,主干路
287,17,2023,81.5,81.5,0,196040.5776,主干路
288,17,2023,81.5,81.5,0,86988.55804,主干路
289,17,2023,80.45,80.45,0,41702,主干路
290,17,2023,81.73,81.73,0,20532,主干路
291,17,2023,81.17,81.17,0,25839.70001,主干路
292,17,2023,81.82,81.82,0,16935,主干路
293,17,2023,80.62,80.62,0,36480,主干路
294,17,2023,67.55,67.55,0,94500,主干路
295,17,2023,90.08,90.08,0,3660,主干路
296,17,2023,90.52,90.52,0,12328.5,主干路
297,17,2023,82.61,82.61,0,12657.4,主干路
298,17,2023,87.1,87.1,0,202331.3,主干路
299,17,2023,86.49,86.49,0,27987.3484,主干路
300,17,2023,80.22,80.22,0,52804.29,主干路
301,17,2023,82.56,82.56,0,48751.22,主干路
302,17,2023,78.07,78.07,0,16775,主干路
303,17,2023,86.1,86.1,0,159394.5,主干路
304,17,2023,90.46,90.46,0,75870,主干路
305,17,2023,92.02,92.02,0,58921,主干路
306,17,2023,97.2,97.2,0,58399.2,主干路
307,17,2023,83.24,83.24,0,17850.1,主干路
308,17,2023,91.3,91.3,0,22890,主干路
309,17,2023,81.3,81.3,0,42411.4,主干路
310,17,2023,100,100,0,20376,主干路
311,17,2023,87.46,87.46,0,20742.8,主干路
312,17,2023,96.89,96.89,0,36070,主干路
313,17,2023,94.03,94.03,0,53021.2,主干路
314,17,2023,78.83,78.83,0,100362.8,主干路
315,17,2023,80.24,80.24,0,15732.2,主干路
316,17,2023,93.61,93.61,0,43547,主干路
317,17,2023,95.38,95.38,0,74403,主干路
318,17,2023,95.3,95.3,0,73991.5,主干路
319,17,2023,83.48,83.48,0,27428.4,主干路
320,17,2023,76.13,76.13,0,15917.4,主干路
321,17,2023,88.87,88.87,0,23596.75,主干路
322,17,2023,89.12,89.12,0,23520.8,主干路
323,17,2023,81.87,81.87,0,30817,主干路
324,17,2023,83.87,83.87,0,29213,主干路
325,17,2023,81.99,81.99,0,21322.74143,主干路
326,17,2023,76.27,76.27,0,15157,主干路
327,17,2023,93.08,93.08,0,9926,主干路
328,17,2023,94.15,94.15,0,13350,主干路
329,17,2023,76.8,76.8,0,20349,主干路
330,17,2023,76.8,76.8,0,18411,主干路
331,17,2023,78.15,78.15,0,55594,主干路
332,17,2023,68.84,68.84,0,23100,主干路
333,17,2023,77.73,77.73,0,117356.5,主干路
334,17,2023,85.35,85.35,0,62056,主干路
335,17,2023,82.67,82.67,0,63867,主干路
336,17,2023,83.9,83.9,0,37230.307,主干路
337,17,2023,85.35,85.35,0,22759.08984,主干路
338,17,2023,85.59,85.59,0,18365,主干路
339,17,2023,74.07,74.07,0,105362.9,主干路
340,17,2023,78.27,78.27,0,8505.9,主干路
341,17,2023,67.8,67.8,0,46400,主干路
342,17,2023,80.39,80.39,0,8832,主干路
343,17,2023,84.93,84.93,0,32341.1,主干路
344,17,2023,83.32,83.32,0,25787.5,主干路
345,17,2023,75.76,75.76,0,104639.2,主干路
346,17,2023,92.02,92.02,0,8020,主干路
347,17,2023,90.05,90.05,0,24779.32746,主干路
348,17,2023,88.06,88.06,0,21694.28281,主干路
349,17,2023,80.73,80.73,0,6820.356117,主干路
350,17,2023,100,100,0,57311,主干路
351,17,2023,85.03,85.03,0,35528.8,主干路
352,17,2023,89.42,89.42,0,28597.3,主干路
353,17,2023,89.38,89.38,0,49722.12,主干路
354,17,2023,83.9,83.9,0,67534.6,主干路
355,17,2023,93.08,93.08,0,52993.5,主干路
356,17,2023,92.14,92.14,0,49510.2,主干路
357,17,2023,84.96,84.96,0,6068.2,主干路
358,17,2023,70.2,70.2,0,8372.3,主干路
359,17,2023,78.53,78.53,0,164853,主干路
360,17,2023,72.6,72.6,0,9316,主干路
361,17,2023,74.97,74.97,0,23088,主干路
362,17,2023,65.21,65.21,0,1198.5,主干路
363,17,2023,93.96,93.96,0,5910,主干路
364,17,2023,87.32,87.32,0,3480,主干路
365,17,2023,70.7,70.7,0,200,主干路
366,17,2023,63.19,63.19,0,530,主干路
367,17,2023,83.03,83.03,0,2957.4,主干路
368,17,2023,78.95,78.95,0,19788,主干路
369,17,2023,100,100,0,68927.3,主干路
370,17,2023,84.33,84.33,0,80952,主干路
371,17,2023,84.35,84.35,0,22318.8,主干路
372,17,2023,84.35,84.35,0,143179.9,主干路
373,17,2023,80.97,80.97,0,4309,主干路
374,17,2023,93.74,93.74,0,7009,主干路
375,17,2023,84.89,84.89,0,31121.7,主干路
376,17,2023,76.57,76.57,0,11773,主干路
377,17,2023,84.78,84.78,0,7220,主干路
378,17,2023,78.16,78.16,0,13840,主干路
379,17,2023,79.03,79.03,0,13841,主干路
380,17,2023,81.08,81.08,0,7261,主干路
381,17,2023,85.29,85.29,0,38938.7,主干路
382,17,2023,84.3,84.3,0,20287.5,主干路
383,17,2023,100,100,0,35310,主干路
384,17,2023,78.2,78.2,0,88297.2,主干路
385,17,2023,79.56,79.56,0,27637.7,主干路
386,17,2023,82.05,82.05,0,9518,主干路
387,17,2023,82.18,82.18,0,15000,主干路
388,17,2023,70.45,70.45,0,93131,主干路
389,17,2023,92.82,92.82,0,3181.920386,主干路
390,17,2023,92.82,92.82,0,12376.19753,主干路
391,17,2023,58.98,58.98,0,12175.6,主干路
392,17,2023,84.5,84.5,0,7956,主干路
393,17,2023,68.93,68.93,0,109200,主干路
394,17,2023,100,100,0,70669,主干路
395,17,2023,77.01,77.01,0,41920,主干路
396,17,2023,85.42,85.42,0,13584,主干路
397,17,2023,85.42,85.42,0,15408,主干路
398,17,2023,96.9,96.9,0,25726,主干路
399,17,2023,82.63,82.63,0,18088,主干路
400,17,2023,83.21,83.21,0,65100,主干路
401,17,2023,96.94,96.94,0,68672,主干路
402,17,2023,93.44,93.44,0,69303.3,快速路
403,17,2023,77.58,77.58,0,17517,主干路
404,17,2023,84.69,84.69,0,18273.5,主干路
405,17,2023,83.41,83.41,0,72098.1,主干路
406,17,2023,81.02,81.02,0,149016,主干路
407,17,2023,77.39,77.39,0,34967.3,主干路
408,17,2023,85.04,85.04,0,226521.73,主干路
409,17,2023,85.26,85.26,0,7999,主干路
410,17,2023,70.28,70.28,0,20218.2,主干路
411,17,2023,68.6,68.6,0,20617,主干路
412,17,2023,77.1,77.1,0,12003.5,主干路
413,17,2023,80.12,80.12,0,10765,主干路
414,17,2023,85.78,85.78,0,5891.5,主干路
415,17,2023,85.67,85.67,0,28968,主干路
416,17,2023,83.77,83.77,0,13558.5,主干路
417,17,2023,74.05,74.05,0,5957,主干路
418,17,2023,85.75,85.75,0,44150.2,主干路
419,17,2023,80.56,80.56,0,33554.7,快速路
420,17,2023,97.08,97.08,0,29449.5,主干路
421,17,2023,87.63,87.63,0,25872,主干路
422,17,2023,67.74,67.74,0,6883,快速路
423,17,2023,67.34,67.34,0,5653.5,主干路
424,17,2023,68.04,68.04,0,22755.9,主干路
425,17,2023,85.22,85.22,0,13573,主干路
426,17,2023,84.74,84.74,0,23470,主干路
427,17,2023,81.45,81.45,0,12960,主干路
428,17,2023,86.11,86.11,0,21578,主干路
429,17,2023,78.96,78.96,0,22184,主干路
430,17,2023,78.01,78.01,0,17186,次干路
431,17,2023,92.47,92.47,0,23947,次干路
432,17,2023,93.38,93.38,0,12420,次干路
433,17,2023,88.6,88.6,0,18263.8,次干路
434,17,2023,75.79,75.79,0,81073,次干路
435,17,2023,82.36,82.36,0,22608,次干路
436,17,2023,100,100,0,117600,次干路
437,17,2023,80.26,80.26,0,7250,次干路
438,17,2023,78.06,78.06,0,45844,次干路
439,17,2023,89.06,89.06,0,8214,次干路
440,17,2023,74.12,74.12,0,3610.5,次干路
441,17,2023,92.19,92.19,0,29120,次干路
442,17,2023,82.94,82.94,0,4200.2,次干路
443,17,2023,91.53,91.53,0,5845.7,次干路
444,17,2023,80.92,80.92,0,21223.8,次干路
445,17,2023,83.03,83.03,0,36298,次干路
446,17,2023,74.25,74.25,0,16701,次干路
447,17,2023,86.15,86.15,0,15695.5,次干路
448,17,2023,96.47,96.47,0,1632,次干路
449,17,2023,70.45,70.45,0,24626.8,次干路
450,17,2023,88.41,88.41,0,6721,次干路
451,17,2023,79.14,79.14,0,5451,次干路
452,17,2023,86.03594378,86.03594378,0,7470,次干路
453,17,2023,92.08,92.08,0,15220,次干路
454,17,2023,85.29,85.29,0,17344.10179,次干路
455,17,2023,75.71,75.71,0,126595,次干路
456,17,2023,82.41,82.41,0,4060,次干路
457,17,2023,70.71,70.71,0,147671.2,次干路
458,17,2023,83.31,83.31,0,31856.2,次干路
459,17,2023,74.07,74.07,0,75120,次干路
460,17,2023,76.8,76.8,0,6540.75,次干路
461,17,2023,83.34,83.34,0,8136,次干路
462,17,2023,82,82,0,15461,次干路
463,17,2023,89.17,89.17,0,7925,次干路
464,17,2023,79.99,79.99,0,9813,次干路
465,17,2023,78.44,78.44,0,10898.6,次干路
466,17,2023,90.05,90.05,0,24810.30162,次干路
467,17,2023,85.15,85.15,0,52687.04502,次干路
468,17,2023,88.06,88.06,0,21721.40067,次干路
469,17,2023,85.9,85.9,0,46127.46883,次干路
470,17,2023,80.73,80.73,0,25163.52441,次干路
471,17,2023,85.42,85.42,0,11328,次干路
472,17,2023,86.15,86.15,0,15436,次干路
473,17,2023,79.41,79.41,0,12840.2,支路
474,17,2023,79.41,79.41,0,3922.4,快速路
475,17,2023,86.17,86.17,0,27311.25,主干路
476,17,2023,80.4,80.4,0,65842.6,主干路
477,17,2023,68.87,68.87,0,85220.7,主干路
478,17,2023,82.09,82.09,0,112338,主干路
479,17,2023,78.73,78.73,0,50385,主干路
480,17,2023,82.85,82.85,0,70854.5,主干路
481,17,2023,66.6,66.6,0,334809,主干路
482,17,2023,68.71,68.71,0,25356,主干路
483,17,2023,84.3,84.3,0,131269.75,主干路
484,17,2023,85.08,85.08,0,34475,次干路
485,17,2023,75.71,75.71,0,9920.222197,次干路
486,17,2023,96.84,96.84,0,29327.00334,次干路
487,17,2023,82,82,0,38933.9,主干路
488,17,2023,89.17,89.17,0,16108,主干路
489,17,2023,91.95,91.95,0,92477.99238,主干路
490,17,2023,92.22,92.22,0,12530,主干路
491,17,2023,75.71,75.71,0,88618.1778,主干路
492,17,2023,81.17,81.17,0,55249.69999,主干路
493,17,2023,84.4,84.4,0,37538.5,次干路
494,17,2023,88.68,88.68,0,61649,次干路
495,17,2023,100,100,0,123742.9,次干路
496,17,2023,91.03,91.03,0,52439,主干路
497,17,2023,80.57,80.57,0,27074.2,主干路
498,17,2023,84.47,84.47,0,21165,主干路
499,17,2023,86.34,86.34,0,41661.1,主干路
500,17,2023,84.23,84.23,0,64748,主干路
501,17,2023,72.78,72.78,0,83293,主干路
502,17,2023,76.53,76.53,0,30857,主干路
503,17,2023,66.16,66.16,0,16577,主干路
504,17,2023,79.59,79.59,0,30698,主干路
505,17,2023,83.54,83.54,0,19717.8,主干路
506,17,2023,76.13,76.13,0,39434.5,主干路
507,17,2023,82,82,0,41524.1,主干路
508,17,2023,86.71,86.71,0,23384.2,主干路
509,17,2023,86.6,86.6,0,129150.79,次干路
510,17,2023,88.7,88.7,0,57686.2,快速路
511,17,2023,77.95,77.95,0,259200,快速路
512,17,2023,72.13,72.13,0,105847,快速路
513,17,2023,85.23,85.23,0,63748,主干路
514,17,2023,72.78,72.78,0,43960.1,主干路
515,17,2023,85.57,85.57,0,92646.17,主干路
516,17,2023,85.72,85.72,0,44090,主干路
517,17,2023,78.65,78.65,0,50940,主干路
518,17,2023,84.35,84.35,0,33134.2,主干路
519,17,2023,76.99,76.99,0,19596,主干路
520,17,2023,77.23,77.23,0,33910,主干路
521,17,2023,70.58,70.58,0,116272,主干路
522,17,2023,68.89,68.89,0,36132,主干路
